DOE_NR;Viskos1;Viskos2
DOE-1;233.669;146.644
DOE-2;603.36;322.813
DOE-3;192.77700000000002;117.522
DOE-4;979.0620000000001;507.441
DOE-5;855.267;439.099
DOE-6;92.5222;65.5942
DOE-7;926.042;488.26099999999997
DOE-8;545.1110000000001;290.053
DOE-9;1134.76;591.5020000000001
DOE-10;630.3430000000001;338.935
DOE-11;471.591;252.86000000000004
DOE-12;358.44899999999996;201.97700000000003
DOE-13;495.23099999999994;267.93600000000004
DOE-14;589.1739999999999;310.504
DOE-15;251.301;151.42
DOE-16;814.07;416.378
DOE-17;704.638;370.11899999999997
DOE-18;936.0139999999999;480.63599999999997
DOE-19;415.80199999999996;229.77399999999997
DOE-20;798.606;413.497
DOE-21;703.237;373.363
DOE-22;474.47200000000004;261.26800000000003
DOE-23;430.729;232.66
DOE-24;270.619;160.839
DOE-25;799.539;410.826
DOE-26;58.71040000000001;46.6332
DOE-27;791.542;421.274
DOE-28;313.576;177.675
DOE-29;272.79800000000006;159.20300000000003
DOE-30;696.665;365.14799999999997
DOE-31;466.5690000000001;253.57299999999995
DOE-32;1117.23;572.28
DOE-33;961.207;496.51300000000003
DOE-34;168.908;105.575
DOE-35;1217.04;635.37
DOE-36;568.7830000000001;301.645
DOE-37;189.288;118.57000000000001
DOE-38;810.1419999999999;429.555
DOE-39;269.97799999999995;156.04699999999997
DOE-40;1108.6000000000001;560.733
DOE-41;521.22;283.848
DOE-42;894.4289999999999;458.725
DOE-43;124.91199999999999;85.0687
DOE-44;615.0050000000001;325.296
DOE-45;1087.7800000000002;562.893
DOE-46;441.383;242.12300000000005
DOE-47;687.285;359.18399999999997
DOE-48;371.803;211.075
DOE-49;1093.75;565.771
DOE-50;424.689;235.36999999999998
DOE-51;511.28200000000004;274.25
DOE-52;609.6450000000001;322.146
DOE-53;273.421;163.94
DOE-54;770.61;400.91499999999996
DOE-55;257.494;151.54500000000002
DOE-56;765.6400000000001;388.92400000000004
DOE-57;423.66999999999996;235.233
DOE-58;966.689;498.17600000000004
DOE-59;287.139;162.09499999999997
DOE-60;1159.12;594.281
DOE-61;866.836;446.92300000000006
DOE-62;64.15119999999999;49.034800000000004
DOE-63;1087.7199999999998;560.9710000000001
DOE-64;583.7969999999999;309.75
TEST-1;1096.7800000000002;558.817
TEST-2;1001.4649999999999;518.929
TEST-3;769.346;404.04800000000006
TEST-4;300.107;172.284
TEST-5;592.0980000000001;308.35900000000004
TEST-6;387.2510000000001;214.23199999999997
TEST-7;215.734;132.13500000000002
TEST-8;588.807;311.72200000000004
